# uart-data-probe-r01-b2026-09-13-21-30-31Z (experimental)
repeat,route,direction,pattern,length,send_ticks,reply_ticks,elapsed_us,expected_bytes,actual_bytes,errors,status
0,0,duplex-forward,3,257,0,10,86875,257,257,0,0
0,0,duplex-reverse,3,256,0,10,85039,2048,2048,0,0
0,0,duplex-forward,3,4096,14,10,120917,4096,4096,0,0
0,0,duplex-reverse,3,256,14,10,85086,2048,2048,0,0
0,0,duplex-forward,3,65535,80,10,672792,65535,65535,0,0
0,0,duplex-reverse,3,256,80,10,85061,2048,2048,0,0
1,0,duplex-forward,3,257,0,10,86824,257,257,0,0
1,0,duplex-reverse,3,256,0,10,85019,2048,2048,0,0
1,0,duplex-forward,3,4096,14,10,120824,4096,4096,0,0
1,0,duplex-reverse,3,256,14,10,84967,2048,2048,0,0
1,0,duplex-forward,3,65535,80,10,672720,65535,65535,0,0
1,0,duplex-reverse,3,256,80,10,85038,2048,2048,0,0
2,0,duplex-forward,3,257,0,10,86846,257,257,0,0
2,0,duplex-reverse,3,256,0,10,85058,2048,2048,0,0
2,0,duplex-forward,3,4096,14,10,120822,4096,4096,0,0
2,0,duplex-reverse,3,256,14,10,84991,2048,2048,0,0
2,0,duplex-forward,3,65535,82,12,672747,65535,65535,0,0
2,0,duplex-reverse,3,256,82,12,85024,2048,2048,0,0
0,1,duplex-forward,3,257,0,10,86015,257,257,0,0
0,1,duplex-reverse,3,256,0,10,616,2048,2048,0,0
0,1,duplex-forward,3,4096,12,10,105174,4096,4096,0,0
0,1,duplex-reverse,3,256,12,10,593,2048,2048,0,0
0,1,duplex-forward,3,65535,78,10,655759,65535,65535,0,0
0,1,duplex-reverse,3,256,78,10,612,2048,2048,0,0
1,1,duplex-forward,3,257,0,10,85961,257,257,0,0
1,1,duplex-reverse,3,256,0,10,615,2048,2048,0,0
1,1,duplex-forward,3,4096,14,12,105181,4096,4096,0,0
1,1,duplex-reverse,3,256,14,12,608,2048,2048,0,0
1,1,duplex-forward,3,65535,80,12,655773,65535,65535,0,0
1,1,duplex-reverse,3,256,80,12,615,2048,2048,0,0
2,1,duplex-forward,3,257,0,10,85995,257,257,0,0
2,1,duplex-reverse,3,256,0,10,626,2048,2048,0,0
2,1,duplex-forward,3,4096,12,10,105170,4096,4096,0,0
2,1,duplex-reverse,3,256,12,10,590,2048,2048,0,0
2,1,duplex-forward,3,65535,78,10,655878,65535,65535,0,0
2,1,duplex-reverse,3,256,78,10,625,2048,2048,0,0
# terminal,status=0,saved=36,recovery=0
