# uart-data-probe-r01-b2026-09-13-21-30-31Z (experimental)
repeat,route,direction,pattern,length,send_ticks,reply_ticks,elapsed_us,expected_bytes,actual_bytes,errors,status
0,0,duplex-forward,3,257,2,12,86780,257,257,0,0
0,0,duplex-reverse,3,256,2,12,84969,2048,2048,0,0
0,0,duplex-forward,3,4096,16,12,120854,4096,4096,0,0
0,0,duplex-reverse,3,256,16,12,85031,2048,2048,0,0
0,0,duplex-forward,3,65535,80,10,672612,65535,65535,0,0
0,0,duplex-reverse,3,256,80,10,85020,2048,2048,0,0
1,0,duplex-forward,3,257,0,10,86774,257,257,0,0
1,0,duplex-reverse,3,256,0,10,85103,2048,2048,0,0
1,0,duplex-forward,3,4096,14,10,120835,4096,4096,0,0
1,0,duplex-reverse,3,256,14,10,85070,2048,2048,0,0
1,0,duplex-forward,3,65535,80,10,672631,65535,65535,0,0
1,0,duplex-reverse,3,256,80,10,85004,2048,2048,0,0
2,0,duplex-forward,3,257,0,10,86934,257,257,0,0
2,0,duplex-reverse,3,256,0,10,85088,2048,2048,0,0
2,0,duplex-forward,3,4096,14,10,120804,4096,4096,0,0
2,0,duplex-reverse,3,256,14,10,85021,2048,2048,0,0
2,0,duplex-forward,3,65535,82,10,673333,65535,65535,0,0
2,0,duplex-reverse,3,256,82,10,85072,2048,2048,0,0
0,1,duplex-forward,3,257,0,10,91981,257,257,0,0
0,1,duplex-reverse,3,256,0,10,611,2048,2048,0,0
0,1,duplex-forward,3,4096,14,12,109990,4096,4096,0,0
0,1,duplex-reverse,3,256,14,12,597,2048,2048,0,0
0,1,duplex-forward,3,65535,80,12,661088,65535,65535,0,0
0,1,duplex-reverse,3,256,80,12,589,2048,2048,0,0
1,1,duplex-forward,3,257,0,10,91997,257,257,0,0
1,1,duplex-reverse,3,256,0,10,604,2048,2048,0,0
1,1,duplex-forward,3,4096,14,12,110026,4096,4096,0,0
1,1,duplex-reverse,3,256,14,12,604,2048,2048,0,0
1,1,duplex-forward,3,65535,80,12,661062,65535,65535,0,0
1,1,duplex-reverse,3,256,80,12,595,2048,2048,0,0
2,1,duplex-forward,3,257,2,12,91999,257,257,0,0
2,1,duplex-reverse,3,256,2,12,588,2048,2048,0,0
2,1,duplex-forward,3,4096,12,10,110043,4096,4096,0,0
2,1,duplex-reverse,3,256,12,10,607,2048,2048,0,0
2,1,duplex-forward,3,65535,78,10,661131,65535,65535,0,0
2,1,duplex-reverse,3,256,78,10,607,2048,2048,0,0
# terminal,status=0,saved=36,recovery=0
