# uart-data-probe-r01-b2026-09-13-21-30-31Z (experimental)
repeat,route,direction,pattern,length,send_ticks,reply_ticks,elapsed_us,expected_bytes,actual_bytes,errors,status
0,0,duplex-forward,3,257,0,10,86792,257,257,0,0
0,0,duplex-reverse,3,256,0,10,85007,2048,2048,0,0
0,0,duplex-forward,3,4096,14,10,120444,4096,4096,0,0
0,0,duplex-reverse,3,256,14,10,85108,2048,2048,0,0
0,0,duplex-forward,3,65535,80,10,672862,65535,65535,0,0
0,0,duplex-reverse,3,256,80,10,85110,2048,2048,0,0
1,0,duplex-forward,3,257,2,12,86859,257,257,0,0
1,0,duplex-reverse,3,256,2,12,85032,2048,2048,0,0
1,0,duplex-forward,3,4096,16,12,120850,4096,4096,0,0
1,0,duplex-reverse,3,256,16,12,85022,2048,2048,0,0
1,0,duplex-forward,3,65535,80,10,673141,65535,65535,0,0
1,0,duplex-reverse,3,256,80,10,85080,2048,2048,0,0
2,0,duplex-forward,3,257,2,10,86827,257,257,0,0
2,0,duplex-reverse,3,256,2,10,85003,2048,2048,0,0
2,0,duplex-forward,3,4096,14,10,120913,4096,4096,0,0
2,0,duplex-reverse,3,256,14,10,85062,2048,2048,0,0
2,0,duplex-forward,3,65535,80,10,672693,65535,65535,0,0
2,0,duplex-reverse,3,256,80,10,85026,2048,2048,0,0
0,1,duplex-forward,3,257,12,12,113002,257,257,0,0
0,1,duplex-reverse,3,256,12,12,606,2048,2048,0,0
0,1,duplex-forward,3,4096,24,14,194059,4096,4096,0,0
0,1,duplex-reverse,3,256,24,14,658,2048,2048,0,0
0,1,duplex-forward,3,65535,180,14,1503103,65535,65535,0,0
0,1,duplex-reverse,3,256,180,14,611,2048,2048,0,0
1,1,duplex-forward,3,257,14,14,113016,257,257,0,0
1,1,duplex-reverse,3,256,14,14,620,2048,2048,0,0
1,1,duplex-forward,3,4096,22,12,194049,4096,4096,0,0
1,1,duplex-reverse,3,256,22,12,609,2048,2048,0,0
1,1,duplex-forward,3,65535,180,12,1503049,65535,65535,0,0
1,1,duplex-reverse,3,256,180,12,611,2048,2048,0,0
2,1,duplex-forward,3,257,14,14,113016,257,257,0,0
2,1,duplex-reverse,3,256,14,14,596,2048,2048,0,0
2,1,duplex-forward,3,4096,24,14,194030,4096,4096,0,0
2,1,duplex-reverse,3,256,24,14,612,2048,2048,0,0
2,1,duplex-forward,3,65535,180,14,1503176,65535,65535,0,0
2,1,duplex-reverse,3,256,180,14,596,2048,2048,0,0
# terminal,status=0,saved=36,recovery=0
