# uart-data-probe-r01-b2026-09-13-21-30-31Z (experimental)
repeat,route,direction,pattern,length,send_ticks,reply_ticks,elapsed_us,expected_bytes,actual_bytes,errors,status
0,0,duplex-forward,3,257,0,10,86351,257,257,0,0
0,0,duplex-reverse,3,256,0,10,85058,2048,2048,0,0
0,0,duplex-forward,3,4096,14,10,120926,4096,4096,0,0
0,0,duplex-reverse,3,256,14,10,85082,2048,2048,0,0
0,0,duplex-forward,3,65535,82,12,672562,65535,65535,0,0
0,0,duplex-reverse,3,256,82,12,85091,2048,2048,0,0
1,0,duplex-forward,3,257,2,12,86910,257,257,0,0
1,0,duplex-reverse,3,256,2,12,85050,2048,2048,0,0
1,0,duplex-forward,3,4096,14,10,120945,4096,4096,0,0
1,0,duplex-reverse,3,256,14,10,85039,2048,2048,0,0
1,0,duplex-forward,3,65535,82,10,672894,65535,65535,0,0
1,0,duplex-reverse,3,256,82,10,85074,2048,2048,0,0
2,0,duplex-forward,3,257,2,10,86953,257,257,0,0
2,0,duplex-reverse,3,256,2,10,85112,2048,2048,0,0
2,0,duplex-forward,3,4096,14,10,120787,4096,4096,0,0
2,0,duplex-reverse,3,256,14,10,85007,2048,2048,0,0
2,0,duplex-forward,3,65535,80,10,672618,65535,65535,0,0
2,0,duplex-reverse,3,256,80,10,85028,2048,2048,0,0
0,1,duplex-forward,3,257,12,12,116027,257,257,0,0
0,1,duplex-reverse,3,256,12,12,609,2048,2048,0,0
0,1,duplex-forward,3,4096,28,14,239037,4096,4096,0,0
0,1,duplex-reverse,3,256,28,14,608,2048,2048,0,0
0,1,duplex-forward,3,65535,264,12,2207103,65535,65535,0,0
0,1,duplex-reverse,3,256,264,12,595,2048,2048,0,0
1,1,duplex-forward,3,257,14,14,116001,257,257,0,0
1,1,duplex-reverse,3,256,14,14,603,2048,2048,0,0
1,1,duplex-forward,3,4096,28,12,239038,4096,4096,0,0
1,1,duplex-reverse,3,256,28,12,605,2048,2048,0,0
1,1,duplex-forward,3,65535,264,14,2207141,65535,65535,0,0
1,1,duplex-reverse,3,256,264,14,609,2048,2048,0,0
2,1,duplex-forward,3,257,14,12,115973,257,257,0,0
2,1,duplex-reverse,3,256,14,12,614,2048,2048,0,0
2,1,duplex-forward,3,4096,30,14,239038,4096,4096,0,0
2,1,duplex-reverse,3,256,30,14,602,2048,2048,0,0
2,1,duplex-forward,3,65535,264,12,2207059,65535,65535,0,0
2,1,duplex-reverse,3,256,264,12,599,2048,2048,0,0
# terminal,status=0,saved=36,recovery=0
