object,stock_rom,ordinary_rom,bench_rom,ordinary_minus_stock,stock_ram,ordinary_ram,bench_ram
runtime/build/libmos_runtime.a(ldivs_lrems_common.o),17,17,17,0,0,0,0
runtime/build/libmos_runtime.a(strchr.o),31,31,31,0,0,0,0
runtime/build/libmos_runtime.a(isspace.o),15,15,15,0,0,0,0
obj/src/tests.o,0,0,0,0,0,0,0
runtime/build/libmos_runtime.a(strcat.o),29,29,29,0,0,0,0
runtime/build/libmos_runtime.a(memcpy.o),33,33,33,0,0,0,0
runtime/build/libmos_runtime.a(firmware_printf.o),2637,2637,2637,0,0,0,0
obj/hostfs_descriptor.o,79,79,79,0,0,0,0
runtime/build/libmos_runtime.a(sdvrmu.o),16,16,16,0,0,0,0
runtime/build/libmos_runtime.a(llshru.o),26,26,26,0,0,0,0
runtime/build/libmos_runtime.a(lmulu.o),92,92,92,0,0,0,0
runtime/build/libmos_runtime.a(ishrs.o),65,65,65,0,0,0,0
runtime/build/libmos_runtime.a(imulu.o),48,48,48,0,0,0,0
obj/src/mos_sysvars.o,6791,6791,6791,0,6,6,6
runtime/build/libmos_runtime.a(isxdigit.o),21,21,21,0,0,0,0
runtime/build/libmos_runtime.a(strcpy.o),24,24,24,0,0,0,0
runtime/build/libmos_runtime.a(strspn.o),49,49,49,0,0,0,0
obj/asm/src_startup/vectors16.o,557,550,550,-7,192,192,192
