# integ014-dual-uart-r01-b2026-09-14-07-02-26Z; ROM agon-emos-v0.1.17-b2026-09-14-07-00-36Z
repeat,load,kind,length,total_ticks,send_ticks,reply_ticks,endpoint_us,uart0_irqs,uart1_irqs,uart0_bytes,queries,uart0_errors,uart1_errors,status,restored
# native IRQ owners; no IRQ counts or UART0 payload validation
0,0,1,256,14,0,14,611,0,0,0,0,0,0,0,0
0,0,0,4096,12,12,12,89872,0,0,0,0,0,0,0,0
0,0,0,65535,170,170,170,1409948,0,0,0,0,0,0,0,0
0,1,1,256,14,0,14,582,0,0,0,8,0,0,0,0
0,1,0,4096,12,10,12,90874,0,0,0,6,0,0,0,0
0,1,0,65535,172,172,172,1424036,0,0,0,86,0,0,0,0
1,0,1,256,12,0,12,603,0,0,0,0,0,0,0,0
1,0,0,4096,10,10,10,89894,0,0,0,0,0,0,0,0
1,0,0,65535,170,170,170,1409912,0,0,0,0,0,0,0,0
1,1,1,256,14,0,14,604,0,0,0,8,0,0,0,0
1,1,0,4096,10,10,10,90898,0,0,0,6,0,0,0,0
1,1,0,65535,172,170,172,1424042,0,0,0,86,0,0,0,0
2,0,1,256,14,0,14,607,0,0,0,0,0,0,0,0
2,0,0,4096,10,10,10,89834,0,0,0,0,0,0,0,0
2,0,0,65535,168,168,168,1409931,0,0,0,0,0,0,0,0
2,1,1,256,14,2,14,615,0,0,0,7,0,0,0,0
2,1,0,4096,10,10,10,90948,0,0,0,6,0,0,0,0
2,1,0,65535,172,170,172,1424024,0,0,0,86,0,0,0,0
# terminal,status=0,saved=18,failures=0,recovery=0
